"","Station","Pre4","Pre3","Pre2","Pre1","Recruit","Post","TotMales","JuvFems","MatFems","TotFems"
"1","101","17.0","31.0","9.0","2.0","0.0","0.0","59.0","31.0","1.0","32.0"
"2","102","10.0","68.0","26.0","3.0","0.0","0.0","107.0","22.0","0.0","22.0"
"3","103","10.0","10.0","0.0","0.0","0.0","0.0","20.0","4.0","0.0","4.0"
"4","104","1.0","1.0","0.0","0.0","0.0","0.0","2.0","3.0","0.0","3.0"
"5","105","3.0","1.0","1.0","0.0","0.0","0.0","5.0","5.0","0.0","5.0"
"6","106","1.0","5.0","2.0","0.0","0.0","0.0","8.0","2.0","0.0","2.0"
"7","107","12.0","11.0","3.0","2.0","0.0","0.0","28.0","13.0","2.0","15.0"
"8","108","5.0","0.0","1.0","0.0","0.0","0.0","6.0","12.0","0.0","12.0"
"9","109","4.0","6.0","0.0","0.0","0.0","0.0","10.0","5.0","0.0","5.0"
"10","110","4.0","3.0","1.0","0.0","0.0","0.0","8.0","4.0","0.0","4.0"
"11","111","8.0","0.0","0.0","0.0","0.0","0.0","8.0","5.0","3.0","8.0"
"12","112","1.0","2.0","1.0","0.0","0.0","0.0","4.0","0.0","1.0","1.0"
"13","114","2.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","1.0","3.0"
"14","116","4.0","1.0","6.0","1.0","0.0","0.0","12.0","6.0","7.0","13.0"
"15","117","2.0","1.0","1.0","2.0","2.0","0.0","8.0","4.0","1.0","5.0"
"16","118","3.0","0.0","0.0","0.0","0.0","0.0","3.0","2.0","0.0","2.0"
"17","119","53.0","99.0","14.0","0.0","1.0","0.0","167.0","99.0","5.0","104.0"
"18","120","21.0","0.0","0.0","0.0","0.0","0.0","21.0","23.0","0.0","23.0"
"19","121","1.0","1.0","0.0","0.0","0.0","0.0","2.0","2.0","1.0","3.0"
"20","122","7.0","0.0","0.0","0.0","0.0","0.0","7.0","8.0","0.0","8.0"
"21","123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"22","124","1.0","0.0","1.0","2.0","3.0","4.0","11.0","0.0","10.0","10.0"
"23","125","9.9","59.3","62.6","102.2","33.0","0.0","267.0","111.0","17.0","128.0"
"24","126","5.0","15.0","35.0","5.0","1.0","0.0","61.0","65.0","72.0","137.0"
"25","127","2.0","49.5","47.5","43.5","33.6","4.0","180.0","191.8","76.2","268.0"
"26","128","15.6","129.6","134.8","49.3","20.7","0.0","350.0","289.7","123.3","413.0"
"27","129","27.0","0.0","0.0","0.0","0.0","0.0","27.0","30.0","0.0","30.0"
"28","130","9.0","1.0","3.0","11.0","17.0","5.0","46.0","24.0","17.0","41.0"
"29","131","16.0","0.0","0.0","0.0","0.0","0.0","16.0","16.0","0.0","16.0"
"30","132","11.0","0.0","0.0","0.0","1.0","0.0","12.0","11.0","0.0","11.0"
"31","133","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0"
"32","134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","6.0"
"33","135","4.0","0.0","0.0","0.0","0.0","0.0","4.0","5.0","0.0","5.0"
"34","136","0.0","0.0","3.0","1.0","10.0","1.0","15.0","0.0","4.0","4.0"
"35","137","3.0","0.0","0.0","0.0","0.0","0.0","3.0","4.0","0.0","4.0"
"36","138","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"37","139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"38","140","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"39","141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0"
