"","PROJECT_CODE","YEAR","n","P4","P3","P2","P1","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_"
"1","T04",1990,14,434468,336711,556501,493498,893456,674240,2714634,1145882
"2","T04",1991,15,252510,131374,273576,685422,1379426,453670,2722308,879693
"3","T04",1992,15,209831,71948,134688,381086,1978010,1054687,2775565,1097301
"4","T04",1993,16,558464,59025,73378,107855,848810,363005,1647532,430628
"5","T04",1994,16,260137,127473,161944,101303,356246,156693,1007104,451486
"6","T04",1995,16,300509,198207,301598,484296,811734,807143,2096344,1299465
"7","T04",1996,16,176841,32054,49592,454902,742974,595718,1456364,1174485
"8","T04",1997,16,134484,87749,107042,244548,478055,211981,1051879,323965
"9","T04",1998,16,320868,16134,9216,20131,403196,347716,771087,373615
"10","T04",1999,16,713951,699162,830294,518904,312049,239298,3074360,2743906
"11","T04",2000,16,446734,231376,345433,316831,480494,261368,1820868,754144
"12","T04",2001,16,1508596,470833,344754,255343,504698,318804,3084224,1995590
"13","T04",2002,14,1673386,908731,838260,369526,311822,244971,4101726,2098934
"14","T04",2003,16,884933,861700,806086,553965,358230,201368,3464914,1726501
"15","T04",2004,16,635416,355266,1041375,723209,868018,460041,3623284,1875763
"16","T04",2005,15,986832,174394,87049,155515,405890,452079,1809679,1083062
"17","T04",2006,17,970276,133238,113845,191802,456127,583967,1865289,1828893
"18","T04",2007,16,326276,38953,100798,116841,561046,909757,1143914,1252423
"19","T04",2008,16,528442,87852,187970,125792,351461,425347,1281516,787437
"20","T04",2009,15,818177,439944,547114,636899,752945,548314,3195079,2338396
"21","T04",2011,37,4005798,190619,78819,32032,139263,121689,4447159,1983355
"22","T04",2012,37,1527582,2375372,721862,123414,80920,55218,4829149,1796356
"23","T04",2013,37,778423,390244,716835,1098146,192637,105523,3179046,975058
"24","T04",2017,38,180159,369070,274479,187270,124965,132255,1135943,806870
